type,doi,title,journal,year
OA(可免费),10.1111/jipb.70272,"Single-cell insights into plant growth, adaptation, and evolution.",,
OA(可免费),10.1146/annurev-arplant-081720-010120,Advances and Opportunities in Single-Cell Transcriptomics for Plant Research.,,
OA(可免费),10.1016/j.molp.2020.06.010,Global Dynamic Molecular Profiling of Stomatal Lineage Cell Development by Singl,,
OA(可免费),10.1038/s41587-023-01767-y,"Dictionary learning for integrative, multimodal and scalable single-cell analysi",,
OA(可免费),10.1016/j.plaphy.2026.111365,Nano-biochar regulates soil enzymatic activities and nitric oxide signaling to i,,
OA(可免费),10.1016/j.plaphy.2026.111422,"Rice cold tolerance: Physiological responses, molecular regulatory networks, and",,
OA(可免费),10.1111/pce.70640,Endophyte Bacillus sp. RE35 Enhances Cd Trap in Rice Roots Via Root Cell Wall Re,,
OA(可免费),10.1111/pce.70638,A Plasmodiophora Brassicae Effector PbCBM1 Promotes Clubroot Susceptibility by C,,
OA(可免费),10.1016/j.xplc.2026.101938,GhOFP1-GhTALE-GhXTHB transcriptional cascade regulates cotton stem vascular camb,,
OA(可免费),10.1111/pbi.70690,Staurosporine Targets Mitochondrial Regulator VdAtuA3 to Disrupt Mitochondrial H,,
OA(可免费),10.1002/1878-0261.70310,Spatial biology in cancer epigenetics,,
OA(可免费),10.1002/advs.202523088,Harnessing MDM2‐Mediated Targeted Degradation of Transcriptional and Epigenetic,,
OA(可免费),10.1002/advs.76152,A Single‐Cell Transcriptomic Atlas of the Ovine Rumen Microbiome Characterizes L,,
OA(可免费),10.1002/advs.76165,Targeting the HSPA8‐CMA‐ATP6V1A Axis Triggers Lysosomal Hyperacidification and C,,
OA(可免费),10.1002/advs.76615,An Artificially Selected Cytokinin‐Pathway Transcription Factor Balances Soybean,,
OA(可免费),10.1002/anie.8155133,Intracellular Proton Enrichment Drives Unified Dual‐Cofactor Regeneration for Bi,,
OA(可免费),10.1002/mco2.70884,Pathogenesis of Tuberculosis: Interplay Between Host Antituberculosis Immunity a,,
OA(可免费),10.1007/jhep06(2026)063,ψ(2S) production in jets using NRQCD,,
OA(可免费),10.1007/s00203-026-05001-6,Transcriptome and metabolome analyses reveal insights into the response of Morch,,
OA(可免费),10.1007/s00262-026-04478-w,Mechanistic insights on mogrosides as bifunctional regulators of metabolic repro,,
OA(可免费),10.1007/s00432-026-06535-4,The transcription factor ZNF217 drives hepatocellular carcinoma progression by a,,
OA(可免费),10.1007/s00468-026-02790-7,The effect of exogenous sucrose on the anatomical structure of secondary tissues,,
OA(可免费),10.1007/s10238-026-02181-9,PYCR1 promotes glutamine metabolism and the progression of lung adenocarcinoma b,,
OA(可免费),10.1007/s10238-026-02211-6,Identifying PLAU as a shared pathogenic gene in type 2 diabetes and bladder urot,,
OA(可免费),10.1007/s10725-026-01472-1,The ‘stemness’ trait in recalcitrant seeds of Garcinia xanthochymus is modulated,,
OA(可免费),10.1007/s11033-026-12203-0,Small nucleolar RNA host genes in hepatocellular carcinoma: an evidence-weighted,,
OA(可免费),10.1007/s12015-026-11172-y,Next-Generation Hepatocyte Expansion: Bridging Molecular Reprogramming with Mult,,
OA(可免费),10.1007/s12672-026-05287-4,A prognostic model for breast cancer based on mitochondria-associated endoplasmi,,
OA(可免费),10.1007/s12672-026-05289-2,Single cell and spatial atlas of macrophage and astrocyte interactions in gliobl,,
OA(可免费),10.1007/s12672-026-05313-5,Integrative pan-cancer analysis of transferrin reveals context-dependent prognos,,
OA(可免费),10.1007/s12672-026-05322-4,AGPAT family members act as potential predictive biomarkers and therapeutic targ,,
OA(可免费),10.1007/s12672-026-05342-0,GFPT2 upregulation predicts poor prognosis and is associated with TGF-β/Smad act,,
OA(可免费),10.1007/s12672-026-05372-8,EGFL6 predicts unfavorable prognosis and serves as a potential indicator in esop,,
OA(可免费),10.1007/s12672-026-05374-6,A systematic scoping review of the molecular pathogenesis of digestive system ca,,
OA(可免费),10.1007/s12672-026-05380-8,Hypomethylation of FAM83A in lung adenocarcinoma mirrors an epigenetic signature,,
OA(可免费),10.1007/s12672-026-05437-8,Integrative analysis of the roles and prognostic value of RNA-binding proteins i,,
OA(可免费),10.1007/s12672-026-05454-7,Multi-omics analysis identifies GINS1 as a prognostic biomarker in lung adenocar,,
OA(可免费),10.1007/s13205-026-04911-y,Integrated bioinformatics analysis and experimental validation reveal circFoxO1,,
OA(可免费),10.1007/s44499-026-00008-5,Sex-stratified evaluation of immune and cell cycle transcriptional programs in l,,
OA(可免费),10.1016/j.abst.2026.06.003,miRNA-mRNA multi-omics integration in breast cancer staging,,
OA(可免费),10.1016/j.acthis.2026.152348,Developmental stage-specific localization of CK1α protein in the mouse ovary,,
OA(可免费),10.1016/j.actpsy.2026.107138,Numerical precision or inhibitory control? Exploring latent profiles in preschoo,,
OA(可免费),10.1016/j.adna.2026.03.003,Composite materials for interfacial engineering of organic solar cells,,
OA(可免费),10.1016/j.afres.2026.102336,Identification of microorganisms present in a novo biopolymer based on nanocellu,,
OA(可免费),10.1016/j.agee.2026.110475,Spatial scale dependence of plant functional diversity and its response to land-,,
OA(可免费),10.1016/j.amolm.2026.100111,Integrative multi-omics analysis for diagnosis and molecular profiling of multip,,
OA(可免费),10.1016/j.apcatb.2026.126992,Scalable one-step preparation of supported ultrasmall CeO2 with optimized Lewis,,
OA(可免费),10.1016/j.apcatb.2026.127003,Entropy-engineered 2D layered double hydroxides as efficient single-component vi,,
OA(可免费),10.1016/j.apergo.2026.104859,Ergonomic enhancement of a light-guided vocal fold injection device: Addressing,,
OA(可免费),10.1016/j.aqrep.2026.103701,Regulation of growth and biomineralization by transcription factor PmRunt in Pin,,
OA(可免费),10.1016/j.asej.2026.104354,An API recommendation method fusing context and semantic,,
OA(可免费),10.1016/j.bbrep.2026.102649,"Pan-cancer expression, methylation, and prognostic significance of α7 nicotinic",,
OA(可免费),10.1016/j.bbrep.2026.102721,Vibrio parahaemolyticusAHPND infection altered eicosanoid biosynthesis in the ga,,
OA(可免费),10.1016/j.biombioe.2026.109675,Inert-gas-free thermochemical conversion of banana pseudostem under oxygen-limit,,
OA(可免费),10.1016/j.biopha.2026.119764,Carnosic acid and carnosol promote lipid mediator class-switching toward inflamm,,
OA(可免费),10.1016/j.biortech.2026.134965,Simulation of a pyrolysis plant for tropical agricultural residues: biochar yiel,,
OA(可免费),10.1016/j.biortech.2026.135029,"De novo gamma-decalactone bioproduction from Ashbya gossypii: Process design, te",,
OA(可免费),10.1016/j.bios.2026.118973,"GLASS-seq: a gel-anchored, ligation-assisted, scalable biosensing platform for l",,
OA(可免费),10.1016/j.breast.2026.104806,From CDK4/6 to CDK2 and KAT: Evolving therapeutic approaches in HR+/HER2– breast,,
OA(可免费),10.1016/j.bse.2026.105283,Chemical profile of the essential oil from leaves and fruit of Croton blanchetia,,
OA(可免费),10.1016/j.cca.2026.121206,Multiplex methylation marker analysis for ctDNA detection in liquid biopsies fro,,
OA(可免费),10.1016/j.cca.2026.121213,Performance of Free Light Chain reagents in the Dutch External Quality Assessmen,,
OA(可免费),10.1016/j.cca.2026.121232,"Integrating lung microbiome, amino acid metabolism, and host immune response in",,
OA(可免费),10.1016/j.ces.2026.124171,Multi-objective optimization of fluidized bed hydrodynamics via spatial modulati,,
OA(可免费),10.1016/j.ces.2026.124663,Robust surrogate-assisted batch-to-batch optimization of consolidated bioprocess,,
OA(可免费),10.1016/j.cnt.2026.100028,Construction of K-doped g-C3N4-based heterojunctions for efficient light-driven,,
OA(可免费),10.1016/j.compchemeng.2026.109746,Accelerated robust spatial Branch-and-Bound algorithm via multi-parametric progr,,
OA(可免费),10.1016/j.displa.2026.103562,Two-dimensional liquid crystal lens array for light field 3D displays,,
OA(可免费),10.1016/j.dsvis.2025.100002,Spatial semantic information model (SSIM): A review for a multi-dimensional data,,
OA(可免费),10.1016/j.ecoenv.2026.120529,Effects of the co-application of biochar and trace elements on cadmium passivati,,
OA(可免费),10.1016/j.eist.2026.101177,Socio-technical pathways of automotive decarbonization: evidence from patent net,,
OA(可免费),10.1016/j.eja.2026.128200,Genetic gains in wheat spike fertility and associated floret development attribu,,
OA(可免费),10.1016/j.ejcped.2026.100532,A phase II trial of intrathecal liposomal cytarabine and chemoimmunotherapy with,,
OA(可免费),10.1016/j.epsr.2026.113149,A novel multi-source spatial-temporal forecasting network for power prediction o,,
OA(可免费),10.1016/j.epsr.2026.113677,Exploratory data analysis of lightning location and return-stroke parameters at,,
OA(可免费),10.1016/j.epsr.2026.113877,A method for quantifying availability losses caused by PV inverter start-up dela,,
OA(可免费),10.1016/j.epsr.2026.113973,"Multispectral correlation of infrared, ultraviolet, and leakage current attribut",,
OA(可免费),10.1016/j.eswa.2026.133087,Neural fusion and rendering of multidimensional light field for holographic ster,,
OA(可免费),10.1016/j.fm.2026.105151,Microbial succession and spoilage dynamics revealed by multi-omics in Norway lob,,
OA(可免费),10.1016/j.fm.2026.105163,Cross-feeding and stress response are the basis of increased fruitiness and leav,,
OA(可免费),10.1016/j.fochms.2026.100438,Microbial-associated lipid oxidation drives flavor deterioration of Zanba during,,
OA(可免费),10.1016/j.foodcont.2026.112465,An integrated multi-omics framework reveals ecological and metabolic drivers of,,
OA(可免费),10.1016/j.foodhyd.2026.113011,"Current overview, challenges, and future prospects in the encapsulation of bioac",,
OA(可免费),10.1016/j.foohum.2026.101356,Towards the establishment of a comprehensive food inspection system: An approach,,
OA(可免费),10.1016/j.fsigen.2026.103582,Small decisions about nothing can have a large effect on DNA transfer modelling,,
OA(可免费),10.1016/j.fsisyn.2026.100719,"Interpol review of gunshot residue, 2022 to 2024.",,
OA(可免费),10.1016/j.fuel.2026.139671,Stability and catalytic performance of Single-Atom catalysts supported on BN-ixe,,
OA(可免费),10.1016/j.fuel.2026.139871,Transformation and modes of occurrence of rare earth elements in coal fly ash fr,,
OA(可免费),10.1016/j.fuel.2026.139925,Tailoring iron-based catalysts via support variation and metal loading for effic,,
OA(可免费),10.1016/j.fuel.2026.141056,Effects of water-soluble amino acid promoters on the formation kinetics of liqui,,
OA(可免费),10.1016/j.geomat.2026.100122,A spatio-temporal model for wildfire spread prediction in Thailand using multi-s,,
