doi,title,journal,file,source,is_oa,oa_status,oa_url
10.1001/jama.282.20.1979,10.1001/jama.282.20.1979,,10-1001-jama-282-20-1979.md,papers,False,closed,
10.1007/978-1-4020-6754-9_3761,10.1007/978-1-4020-6754-9_3761,,10-1007-978-1-4020-6754-9-3761.md,papers,False,closed,
10.7554/elife.17214.001,10.7554/elife.17214.001,,10-7554-elife-17214-001.md,papers,False,error,HTTP Error 404: Not Found
10.1111/tpj.15772,Advances and applications of single‐cell omics technologies in plant research,"""The Plant Journal""",advances-and-applications-of-single-cell-omics-technologies-in-plant-research.md,papers,False,closed,
10.1038/s41477-025-02204-5,Spatial transcriptomics decodes the cellular landscape of plant-pathogen interac,,b3-Gz0p6FMAVxjOjgCBDZI1Pw.md,papers,False,closed,
10.1093/plcell/koag035,Single-cell and tissue transcriptomes unveil factors regulating vein initiation ,,b3-OMNR04TzRVVJ6LhX-aZBdA.md,papers,False,closed,
10.1093/plcell/koag095,Spongy mesophyll cell death is induced by jasmonic acid during leaf senescence i,,b3-_Nbsf2Btoy13ViQICnAbiw.md,papers,False,closed,
10.1111/pce.70169,created: 2026-05-28,,b4-A4eRtTpTuVLrP6mvHWMndA.md,papers,False,closed,
10.1093/plcell/koag003,The Arabidopsis PRC2 subunit MSI1 interacts with HY5 to repress hypocotyl elonga,,b6-_4lVabIoRyC91sLMxSI_ig.md,papers,False,closed,
10.1016/j.jgg.2026.03.024,An integrative gene regulatory network identifies transcriptional hubs governing,,b6-w-bO19EiGBKPR_ELsaEeRQ.md,papers,False,closed,
10.1111/nph.71235,The MYC2-MYB113 module governs JA signaling to regulate anthocyanin accumulation,,b6-wQ3FrPqm0Jv4M8pYV6K4cA.md,papers,False,closed,
10.1101/2025.12.09.693185,蓝光受体CRY1调控从头茎再生,,biorxiv-2025-12-09-693185.md,papers,False,error,HTTP Error 404: Not Found
10.1111/jipb.70272,"Single-cell insights into plant growth, adaptation, and evolution.",,capsicum-metabolite-spatial-patterning.md,papers,False,closed,
10.1089/omi.2011.0118,clusterProfiler: an R package for comparing biological themes among gene cluster,,cr-omi-2011-0118.md,papers,False,closed,
10.1038/s41477-023-01387-z,Integrated single-nucleus and spatial transcriptomics captures transitional stat,,cr-s41477-023-01387-z.md,papers,False,closed,
10.1126/science.1090022,A gene expression map of the Arabidopsis root.,,cr-science-1090022.md,papers,False,closed,
10.1111/tpj.70926,PfCYP94C179 endows resistance to fenoxaprop-P-ethyl in Polypogon fugax: insights,,daily-42133864.md,papers,False,closed,
10.1016/j.plantsci.2026.113237,Age-Dependent Modulation of Antioxidant Defense and Secondary Metabolite Accumul,,daily-42178064.md,papers,False,closed,
10.1111/1744-7917.70298,Biodegradation of polyvinyl chloride (PVC) microplastics in superworms (Zophobas,,daily-42186851.md,papers,False,closed,
10.1016/j.jplph.2026.154801,CsMYB6 promotes crocins biosynthesis in response to JA signaling in Crocus sativ,,daily-42202640.md,papers,False,closed,
10.1016/j.plantsci.2026.113239,Transcriptomic and physiological analyses reveal the mechanism of acetylene-indu,,daily-42202962.md,papers,False,closed,
