title,doi,pmid,pmcid,pdf_url
A 新的 R2R3‐MYB transcription factor FaMYB5 positively 调控 花青素 and 原花青素 生物合成 in cultivated strawberries (Fragaria × ananass,10.1111/pbi.14024,,PMC10214752,
"A pear S1-bZIP transcription factor PpbZIP44 调节 carbohydrate metabolism, amino acid, and 类黄酮 积累 in fruits",10.1093/hr/uhad140,,PMC10421730,
Auxin 抑制 木质素 and 纤维素 生物合成 in stone cells of pear fruit via the PbrARF13‐PbrNSC‐PbrMYB132 transcriptional regulatory casc,10.1111/pbi.14046,,PMC10281602,
Integrated Single-Cell and Spatial Transcriptomics Reveal Cell-Type-Specific Imm,10.1002/advs.202512295,,PMC13170197,
Banana MaNAC1 激活 secondary cell wall 纤维素 生物合成 to enhance chilling resistance in fruit,10.1111/pbi.14195,,PMC10826994,
Biology and Function of miR159 in Plants,10.3390/plants8080255,,PMC6724108,
Brassinosteroid-Activated BRI1-EMS-SUPPRESSOR 1 抑制 类黄酮 生物合成 and Coordinates Growth and UV-B 胁迫 Responses in Plants,10.1105/tpc.20.00048,33590032,,https://www.ncbi.nlm.nih.gov/pmc/articles/7534464
"Single-cell insights into plant growth, adaptation, and evolution.",10.1111/jipb.70272,42037106,,https://pmc.ncbi.nlm.nih.gov/articles/PMC13446599/pdf/JIPB-68-2889.pdf
CcNFYB3‐CcMATE35 and LncRNA CcLTCS‐CcCS modules jointly regulate the efflux and synthesis of citrate to enhance aluminiu,10.1111/pbi.14179,37776153,PMC10754017,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/pbi.14179
Chromosome-level 基因组 assemblies of Musa ornata and Musa velutina provide 深入 into pericarp dehiscence and 花青素 生物合成 in ban,10.1093/hr/uhae079,38766534,PMC11101321,https://academic.oup.com/hr/advance-article-pdf/doi/10.1093/hr/uhae079/56965842/uhae079.pdf
"Chromosome-scale 基因组, together with transcriptome and metabolome, 提供了 深入 into the 进化 and 花青素 生物合成 of Rubus rosaefolius S",10.1093/hr/uhae064,38689697,PMC11060340,https://academic.oup.com/hr/advance-article-pdf/doi/10.1093/hr/uhae064/56819791/uhae064.pdf
A circadian rheostat drives proton electrochemical gradients to optimize cell-ty,10.1016/j.cell.2025.12.056,41713419,,http://hdl.handle.net/10261/433958
CmNAC25 targets CmMYB6 to positively regulate 花青素 生物合成 过程中 the post-flowering stage in chrysanthemum,10.1186/s12915-023-01719-7,,PMC10561465,
