title,doi
"Single-nucleus RNA-seq and ATAC-seq analyses provide molecular insights into the","10.1093/hr/uhag117"
"A single-cell analysis of the Arabidopsis vegetative shoot apex.","10.1016/j.devcel.2021.02.021"
"Distinct identities of leaf phloem cells revealed by single cell transcriptomics","10.1093/plcell/koaa060"
"Spatial transcriptomics decodes the cellular landscape of plant-pathogen interac","10.1038/s41477-025-02204-5"
"Inferring pattern-driving intercellular flows from single-cell and spatial trans","10.1038/s41592-024-02380-w"
"Single-cell and tissue transcriptomes unveil factors regulating vein initiation","10.1093/plcell/koag035"
"Spongy mesophyll cell death is induced by jasmonic acid during leaf senescence i","10.1093/plcell/koag095"
"Integrated Single-Cell and Spatial Transcriptomics Reveal Cell-Type-Specific Imm","10.1002/advs.202512295"
"A single-cell transcriptomic landscape characterizes the vegetative-to-reproduct","10.1007/s44412-025-00004-4"
"created: 2026-05-28","10.1111/pce.70169核心总览"
"Cell-Specific Expression and Cellular Compartmental Regulation in Camptothecin B","10.1111/pbi.70687"
"created: 2026-05-28","10.1002/advs.202416794）一、研究背景"
"The comprehensive regulatory network in seed oil biosynthesis.","10.1111/jipb.13834"
"TCP21 negatively regulates photomorphogenesis by integrating phyB- and HY5-media","10.1111/tpj.70902"
"The Arabidopsis PRC2 subunit MSI1 interacts with HY5 to repress hypocotyl elonga","10.1093/plcell/koag003"
"An integrative gene regulatory network identifies transcriptional hubs governing","10.1016/j.jgg.2026.03.024"
"The MYC2-MYB113 module governs JA signaling to regulate anthocyanin accumulation","10.1111/nph.71235"
"蓝光受体CRY1调控从头茎再生","10.1101/2025.12.09.693185"
"Single-cell insights into plant growth, adaptation, and evolution.","10.1111/jipb.70272"
"A circadian rheostat drives proton electrochemical gradients to optimize cell-ty","10.1016/j.cell.2025.12.056"
"The molecular and hormonal regulation of cotton fiber development: from single-c","10.1186/s42397-026-00264-2"
"Global Dynamic Molecular Profiling of Stomatal Lineage Cell Development by Singl","10.1016/j.molp.2020.06.010"
"Single-nucleus RNA and ATAC sequencing reveals the impact of chromatin accessibi","10.1016/j.molp.2021.01.001"
"Single-Cell RNA Sequencing Resolves Molecular Relationships Among Individual Pla","10.1104/pp.18.01482"
"Integrated single-nucleus and spatial transcriptomics captures transitional stat","10.1038/s41477-023-01387-z"
"RNA velocity of single cells.","10.1038/s41586-018-0414-6"
"The single-cell transcriptional landscape of mammalian organogenesis.","10.1038/s41586-019-0969-x"
"A gene expression map of the Arabidopsis root.","10.1126/science.1090022"
"Dynamics of Gene Expression in Single Root Cells of &lt;i&gt;Arabidopsis thalian","10.1105/tpc.18.00785"
"Nano-biochar regulates soil enzymatic activities and nitric oxide signaling to i","10.1016/j.plaphy.2026.111365"
"PfCYP94C179 endows resistance to fenoxaprop-P-ethyl in Polypogon fugax: insights","10.1111/tpj.70926"
"SlSEC1- and SlSPY-mediated O-glycosylation stabilizes the transcription factor S","10.1093/plcell/koag144"
"Novel cytoplasmic male sterile line development and stage-specific metabolomic p","10.1186/s12870-026-08896-x"
"Comparative genome-wide identification and analysis of the COMT gene family in p","10.1186/s12870-026-08771-9"
"Age-Dependent Modulation of Antioxidant Defense and Secondary Metabolite Accumul","10.1016/j.plantsci.2026.113237"
"Biodegradation of polyvinyl chloride (PVC) microplastics in superworms (Zophobas","10.1111/1744-7917.70298"
"CsMYB6 promotes crocins biosynthesis in response to JA signaling in Crocus sativ","10.1016/j.jplph.2026.154801"
"Rice cold tolerance: Physiological responses, molecular regulatory networks, and","10.1016/j.plaphy.2026.111422"
"Transcriptomic and physiological analyses reveal the mechanism of acetylene-indu","10.1016/j.plantsci.2026.113239"
"CDC48A and the UBA-domain protein PUX10 regulate the ubiquitin-dependent degrada","10.1093/plcell/koag149"
"Barley HvBODYGUARD1 controls cuticular specialisations regulated by SHINE transc","10.1111/nph.71287"
"Endogenous RALF peptide function is required for powdery mildew host colonizatio","10.1111/nph.71282"
"Copper-sensitive OsSPL9 TF regulates expression of indica rice domestication-ass","10.1038/s42003-026-10325-6"
"Genomic and population analyses reveal asymmetric subgenome evolution and local","10.1038/s42003-026-10373-y"
"Endophyte Bacillus sp. RE35 Enhances Cd Trap in Rice Roots Via Root Cell Wall Re","10.1111/pce.70640"
"A Plasmodiophora Brassicae Effector PbCBM1 Promotes Clubroot Susceptibility by C","10.1111/pce.70638"
"Effects of bio-slurry and chemical fertilizer on soil fertility and productivity","10.1186/s12870-026-09092-7"
"Enhancing the selection of drought tolerance varieties of rice (Oryza sativa) us","10.1186/s12870-026-09055-y"
"Integrated multi-omics analysis reveals a lipid-redox regulatory network underly","10.1186/s12870-026-09098-1"
"Integrated transcriptomic, metabolomic, and physiological analyses underlying di","10.1186/s12870-026-09109-1"
"Metabolomics reveals McF6'H1-mediated regulation of phenylpropanoid/flavonoid me","10.1186/s12870-026-09089-2"
"Plant immune dysregulation disrupts microbe-induced growth promotion and microbi","10.1016/j.xplc.2026.101927"
"GhOFP1-GhTALE-GhXTHB transcriptional cascade regulates cotton stem vascular camb","10.1016/j.xplc.2026.101938"
"Volatiles released by undamaged plants mediate the adaptive growth strategies in","10.1093/jxb/erag252"
"A Rare Allele of ST5 From Wild Rice Enhances Salt Tolerance in Rice.","10.1002/advs.202516159"
"Drought-responsive TaMIP1 controls root density to confer the tradeoff between g","10.1093/plphys/kiag191"
"Staurosporine Targets Mitochondrial Regulator VdAtuA3 to Disrupt Mitochondrial H","10.1111/pbi.70690"
"Genome-wide association study reveals stable loci and candidate genes for cotton","10.1007/s00122-026-05261-2"
"Laminar patterning transcription factors orchestrate spatial metabolite partitio","10.1038/s41477-026-02293-w"
"Single-cell and haplotype-resolved transcriptomics reveal molecular signatures o","10.1016/j.molp.2026.03.016"
"Natural variation in OsbHLH150 confers chilling tolerance in rice by increasing","10.1016/j.xplc.2026.101919"
"created: 2026-05-28","10.1111/nph.70160status:"
"Single-cell transcriptomes reveal spatiotemporal heat stress response in pearl m","10.1111/nph.70232"
"Mapping plant cell-type-specific responses to environmental stresses.","10.1016/j.tplants.2026.03.003"
"Origin of the blastema in regenerating limbs of the newt Triturus viridescens","10.1016/0012-1606(61)90009-4"
"WGCNA: an R package for weighted correlation network analysis.","10.1186/1471-2105-9-559"
"GiA Roots: software for the high throughput analysis of plant root system archit","10.1186/1471-2229-12-116"
"ESPript: analysis of multiple sequence alignments in PostScript.","10.1093/bioinformatics/15.4.305"
"Role of alternative polyadenylation dynamics in acute myeloid leukaemia at singl","10.1080/15476286.2019.1586139"
"Cortex proliferation in the root is a protective mechanism against abiotic stres","10.1080/15592324.2015.1011949"
"Trichostatin A and sodium butyrate promotes plant regeneration in common wheat.","10.1080/15592324.2020.1820681"
"Superoxide anion generation response to wound in Arabidopsis hypocotyl cutting.","10.1080/15592324.2020.1848086"
"Fluorescence Activated Cell Sorting of Plant Protoplasts","10.3791/1673-v"
"Specific NuRD components are required for fin regeneration in zebrafish.","10.1186/1741-7007-12-30"
"Root canal preparation using micro-computed tomography analysis: a literature re","10.1590/1807-3107bor-2018.vol32.0066"
"Asymmetric leaves1 mediates leaf patterning and stem cell function in Arabidopsi","10.1038/35050091"
"Role of PHABULOSA and PHAVOLUTA in determining radial patterning in shoots.","10.1038/35079635"
"A Simple Protocol for Mapping the Plant Root System Architecture Traits.","10.3791/64876"
"Cell Proliferation Analysis Using EdU Labeling in Whole Plant and Histological S","10.1007/978-1-4939-3142-2_13"
"Optimizing RNA-Seq Mapping with STAR.","10.1007/978-1-4939-3572-7_13"
"Isolation of Arabidopsis Palisade and Spongy Mesophyll Cells.","10.1007/978-1-4939-8657-6_9"
"Computer vision as a tool to study plant development.","10.1007/978-1-60327-563-7_16"
"Clustering and classification methods for single-cell RNA-sequencing data.","10.1093/BIB/BBZ062"
"Representation of Mathematical Knowledge in National Knowledge Infrastructure","10.1360/jos171731"
"Defining the Path from Stem Cells to Differentiated Tissue.","10.1016/bs.ctdb.2015.12.002"
"PlantRegMap ：绘制工厂中的功能监管图。","10.1093/nar/gkz1020"
"化学抑制剂：植物细胞周期研究的工具","10.1016/S0014-5793(00)01675-6"
"稻草人基因调节不对称的细胞分裂，这对于产生桡骨","10.1016/S0092-8674(00)80115-4"
"狼人是拟南芥中的MYB相关蛋白，是表皮细胞的位置依赖性调节因子","10.1016/S0092-8674(00)81536-6"
"细胞周期依赖性翻译控制","10.1016/S0959-437X(00)00150-7"
"根表皮中的位置信息在胚胎发育过程中定义，并在","10.1016/S0960-9822(98)70176-9"
"玉米单核转录组全面描述了控制moveme的信号网络","10.1093/plcell/koac047"
"植物干细胞壁龛。","10.1146/annurev-arplant-042811-105555"
"分生组织大小的控制。","10.1146/annurev-arplant-042817-040549"
"根系发育的分子和环境调控。","10.1146/annurev-arplant-050718-100423"
"植物干细胞分裂与分化的调控。","10.1146/annurev-cellbio-100617-062459"
"数字中的力量：解剖复杂组织的单细胞RNA序列策略。","10.1146/annurev-genet-120417-031247"
"第十二届国际材料科学与工程年会（ ICMSE ）","10.4028/b-XDTcg5"
"SMNN ：通过监督相互最近邻对单细胞RNA-seq数据的批量效应校正","10.1093/bib/bbaa097"
"scAPAtrap ：从单细胞R中鉴定和定量替代性聚腺苷酸化位点","10.1093/bib/bbaa273"
"CIForm作为大规模单细胞RNA-seq数据的细胞类型标注的基于Transformer的模型","10.1093/bib/bbad195"
"单细胞RNA测序数据集的单细胞分类器的评估。","10.1093/bib/bbz096"
"movAPA ：生物样本中替代聚腺苷酸化动态的建模和可视化","10.1093/bioinformatics/btaa997"
"大规模的高性能单细胞基因调控网络推断： Inferelator 3.0。","10.1093/bioinformatics/btac117"
"全基因组中端转录谱揭示了人体组织中的表达水平关系","10.1093/bioinformatics/bti042"
"从部分观察重建时空基因表达数据。","10.1093/bioinformatics/btp437"
"edgeR ：用于数字基因表达数据差异表达分析的生物导体包。","10.1093/bioinformatics/btp616"
"BEDTools ：用于比较基因组特征的灵活实用程序套件。","10.1093/bioinformatics/btq033"
"复杂的热图揭示了多维基因组数据中的模式和相关性。","10.1093/bioinformatics/btw313"
"特征特定分位数归一化使分子亚型的跨平台分类成为可能","10.1093/bioinformatics/bty026"
"条形码、UMI、SET FORMAT和BUStools。","10.1093/bioinformatics/btz279"
"scDAPA ：从单细胞RNA-seq检测和可视化动态替代多聚腺苷酸化","10.1093/bioinformatics/btz701"
"建立叶极性：小RNA和位置信号在拍摄顶点中的作用。","10.1242/dev.000497"
"拟南芥的不对称叶片发育和叶片扩张由KANADI和YABBY ACTI介导","10.1242/dev.01186"
"ACAULIS5通过预防细胞过早死亡来控制拟南芥木质部规格。","10.1242/dev.019349"
"拟南芥分生组织干细胞生态位的高分辨率基因表达图谱。","10.1242/dev.106104"
"大鼠原肠胚形成期间异常快速的细胞周期表征。","10.1242/dev.117.3.873"
"<i>拟南芥</i>根系发育：根系形态发生显著改变的四种突变体","10.1242/dev.119.1.57"
"拟南芥根的细胞组织。","10.1242/dev.119.1.71"
"联合芽MERISTEMLESS和WUSCHEL触发拟南芥异位器官发生。","10.1242/dev.129.13.3207"
"拟南芥侧根的出现依赖于生长素的转录因子LBD29调节","10.1242/dev.136283"
"拟南芥中熊皮转录因子对根冠成熟和细胞脱离的控制。","10.1242/dev.142331"
"Developmental single-cell transcriptomics in the Lytechinus variegatus sea urchi","10.1242/dev.198614"
"Regeneration or scarring: an immunologic perspective.","10.1002/dvdy.10239"
"Irreversible fate commitment in the Arabidopsis stomatal lineage requires a FAMA","10.7554/eLife.03271"
"created: 2026-05-28","10.7554/eLife.26792.024"
"Cutadapt removes adapter sequences from high-throughput sequencing reads","10.14806/ej.17.1.200"
"WRKY transcription factors and OBERON histone-binding proteins form complexes to","10.15252/embj.2023113639"
"Selection for early shoot vigour in wheat increases root hair length but reduces","10.1093/jxb/erac048"
"Single-cell transcriptomics reveals heterogeneity in plant responses to the envi","10.1093/jxb/erae107"
"Roles of the bundle sheath cells in leaves of C3 plants.","10.1093/jxb/erm335"
"Involvement of Arabidopsis histone deacetylase HDA6 in ABA and salt stress respo","10.1093/jxb/erq154"
"Novel imaging-based phenotyping strategies for dissecting crosstalk in plant dev","10.1093/jxb/erv265"
"Histone deacetylase HDA9 negatively regulates salt and drought stress responsive","10.1093/jxb/erv562"
"YUCCA-mediated auxin biogenesis is required for cell fate transition occurring d","10.1093/jxb/erw213"
"gprofiler2 -- an R package for gene list functional enrichment analysis and name","10.12688/f1000research.24956.2"
"Doublet identification in single-cell sequencing data using <i>scDblFinder</i>.","10.12688/f1000research.73600.2"
"Signatures of mRNA Alternative Polyadenylation in <i>Arabidopsis</i> Leaf Develo","10.3389/fgene.2022.863253"
"A quantitative analysis of stem cell homeostasis in the Arabidopsis columella ro","10.3389/fpls.2015.00206"
"Using a Structural Root System Model to Evaluate and Improve the Accuracy of Roo","10.3389/fpls.2017.00447"
"Divergence in the Regulation of the Salt Tolerant Response Between <i>Arabidopsi","10.3389/fpls.2022.866054"
"Deciphering the Multi-Chromosomal Mitochondrial Genome of <i>Populus simonii</i>","10.3389/fpls.2022.914635"
"Opportunities and challenges in the application of single-cell and spatial trans","10.3389/fpls.2023.1185377"
"Transcription switches for protoxylem and metaxylem vessel formation.","10.1101/gad.1331305"
"Signals and prepatterns: new insights into organ polarity in plants.","10.1101/gad.1819909"
"Mosaic analyses using marked activation and deletion clones dissect Arabidopsis","10.1101/gad.305504"
"Reversible histone acetylation and deacetylation mediate genome-wide, promoter-d","10.1534/genetics.104.033142"
"fastSTRUCTURE: variational inference of population structure in large SNP data s","10.1534/genetics.114.164350"
"MUSCLE: multiple sequence alignment with high accuracy and high throughput.","10.1093/nar/gkh340"
"Measuring cell identity in noisy biological systems.","10.1093/nar/gkr591"
"Differential expression analysis of multifactor RNA-Seq experiments with respect","10.1093/nar/gks042"
"agriGO v2.0: a GO analysis toolkit for the agricultural community, 2017 update.","10.1093/nar/gkx382"
"Cell-type-specific analysis of alternative polyadenylation using single-cell tra","10.1093/nar/gkz781"
"Cytoscape: a software environment for integrated models of biomolecular interact","10.1101/gr.1239303"
"From single-cell to cell-pool transcriptomes: stochasticity in gene expression a","10.1101/gr.161034.113"
"Genome-wide dynamics of alternative polyadenylation in rice.","10.1101/gr.210757.116"
"Analysis of alternative polyadenylation from single-cell RNA-seq using scDaPars","10.1101/gr.271346.120"
"Genome-Wide Analysis of the WOX Family and Its Expression Pattern in Root Develo","10.3390/ijms25147668"
"Genetic evidence that the endodermis is essential for shoot gravitropism in Arab","10.1046/j.1365-313X.1998.00137.x"
"Degradation of the cyclin-dependent kinase inhibitor KRP1 is regulated by two di","10.1111/j.1365-313X.2007.03370.x"
"Arabidopsis PCFS4, a homologue of yeast polyadenylation factor Pcf11p, regulates","10.1111/j.1365-313X.2008.03455.x"
"The DOF transcription factor OBP1 is involved in cell cycle regulation in Arabid","10.1111/j.1365-313X.2008.03641.x"
"Two Arabidopsis 3-ketoacyl CoA synthase genes, KCS20 and KCS2/DAISY, are functio","10.1111/j.1365-313X.2009.03973.x"
"The development of Arabidopsis as a model plant.","10.1111/j.1365-313X.2009.04086.x"
"The intracellular Arabidopsis COPT5 transport protein is required for photosynth","10.1111/j.1365-313X.2010.04472.x"
"Controlling the False Discovery Rate: A Practical and Powerful Approach to Multi","10.1111/j.2517-6161.1995.tb02031.x"
"Regression Shrinkage and Selection Via the Lasso","10.1111/j.2517-6161.1996.tb02080.x"
"The Mystery of the Z-Score.","10.12945/j.aorta.2016.16.014"
"Roles of dynamic and reversible histone acetylation in plant development and pol","10.1016/j.bbaexp.2007.04.007"
"Chemical inhibition of the histone acetyltransferase activity in Arabidopsis tha","10.1016/j.bbrc.2016.12.086"
"Emergence of a High-Plasticity Cell State during Lung Cancer Evolution.","10.1016/j.ccell.2020.06.012"
"Plant stem cell niches: standing the test of time.","10.1016/j.cell.2008.02.001"
"BASL controls asymmetric cell division in Arabidopsis.","10.1016/j.cell.2009.04.018"
"Nonstochastic reprogramming from a privileged somatic cell state.","10.1016/j.cell.2014.01.020"
"Transit-amplifying cells orchestrate stem cell activity and tissue regeneration.","10.1016/j.cell.2014.02.057"
"Highly Parallel Genome-wide Expression Profiling of Individual Cells Using Nanol","10.1016/j.cell.2015.05.002"
"Cistrome and Epicistrome Features Shape the Regulatory DNA Landscape.","10.1016/j.cell.2016.04.038"
"Root Regeneration Triggers an Embryo-like Sequence Guided by Hormonal Interactio","10.1016/j.cell.2016.04.046"
"The Root Cap Cuticle: A Cell Wall Structure for Seedling Establishment and Later","10.1016/j.cell.2019.01.005"
"Optimal-Transport Analysis of Single-Cell Gene Expression Identifies Development","10.1016/j.cell.2019.01.006"
"A Jasmonate Signaling Network Activates Root Stem Cells and Promotes Regeneratio","10.1016/j.cell.2019.03.006"
"Re-activation of Stem Cell Pathways for Pattern Restoration in Plant Wound Heali","10.1016/j.cell.2019.04.015"
"Genome-Scale Imaging of the 3D Organization and Transcriptional Activity of Chro","10.1016/j.cell.2020.07.032"
"Spatiotemporal transcriptomic atlas of mouse organogenesis using DNA nanoball-pa","10.1016/j.cell.2022.04.003"
"An Arabidopsis single-nucleus atlas decodes leaf senescence and nutrient allocat","10.1016/j.cell.2025.03.024"
"A genome-scale resource for the functional characterization of Arabidopsis trans","10.1016/j.celrep.2014.06.033"
"Molecular Mechanisms Driving Switch Behavior in Xylem Cell Differentiation.","10.1016/j.celrep.2019.06.041"
"Single-cell profiling of Arabidopsis leaves to Pseudomonas syringae infection.","10.1016/j.celrep.2023.112676"
"Cell-type-specific responses to fungal infection in plants revealed by single-ce","10.1016/j.chom.2023.08.019"
"Structure-function analyses reveal <i>Arabidopsis thaliana</i> HDA7 to be an ina","10.1016/j.crstbi.2024.100136"
"AP2/ERF转录因子WIND1控制拟南芥细胞去分化","10.1016/j.cub.2011.02.020"
"Rules and Self-Organizing Properties of Post-embryonic Plant Organ Cell Division","10.1016/j.cub.2015.12.047"
"Plant Stem Cells.","10.1016/j.cub.2016.07.070"
"Strigolactone- and Karrikin-Independent SMXL Proteins Are Central Regulators of","10.1016/j.cub.2017.03.014"
"植物的生长防御权衡","10.1016/j.cub.2022.04.070"
